time,price,volume
2017-07-01 00:00:00.000,262.47807335859795,364629591.9530462
2017-07-02 00:00:00.000,286.1336070099866,352969409.70496273
2017-07-03 00:00:00.000,278.5971953381099,244798911.4174002
2017-07-04 00:00:00.000,269.7366305781692,239212708.08591032
2017-07-05 00:00:00.000,265.9369454655199,269182917.884202
2017-07-06 00:00:00.000,267.4697236476019,182999371.28307688
2017-07-07 00:00:00.000,241.4766205298395,257098223.16767168
2017-07-08 00:00:00.000,246.21497097327446,237052454.07736254
2017-07-09 00:00:00.000,238.75431849081662,126590931.37364098
2017-07-10 00:00:00.000,210.52819727984127,411832452.472758
2017-07-11 00:00:00.000,194.33493649003975,628400853.3093524
2017-07-12 00:00:00.000,222.13885617231483,480090644.3759754
2017-07-13 00:00:00.000,206.41325042813503,311100836.347462
2017-07-14 00:00:00.000,197.96945236247697,282809496.9510771
2017-07-15 00:00:00.000,171.77744094493255,245487302.92215428
2017-07-16 00:00:00.000,156.46899162898947,594995539.910624
2017-07-17 00:00:00.000,188.3527773486568,527360935.2359769
2017-07-18 00:00:00.000,228.50328003667275,979531260.0237657
2017-07-19 00:00:00.000,199.59051553264698,769335320.255077
2017-07-20 00:00:00.000,223.4613483872583,731711069.5424181
2017-07-21 00:00:00.000,217.08647395834424,390393974.2217934
2017-07-22 00:00:00.000,231.14352894295098,229970082.7943966
2017-07-23 00:00:00.000,226.7185992848529,204467773.72653127
2017-07-24 00:00:00.000,224.91340709342114,144284203.8135455
2017-07-25 00:00:00.000,206.81050478775018,358021108.5784135
2017-07-26 00:00:00.000,200.3285558009793,291270680.5567596
2017-07-27 00:00:00.000,203.18932178158303,155763232.69062254
2017-07-28 00:00:00.000,192.58568390577597,312701503.6657654
2017-07-29 00:00:00.000,205.51111919711502,420378363.7250074
2017-07-30 00:00:00.000,197.19896347978235,278403491.47329795
2017-07-31 00:00:00.000,203.28719634179097,256040954.6827099
2017-08-01 00:00:00.000,227.08056705038587,794803694.1987914
2017-08-02 00:00:00.000,219.05792926762416,310747315.777984
2017-08-03 00:00:00.000,224.86795657659746,229219665.889338
2017-08-04 00:00:00.000,221.67495953018923,203505640.27122915
2017-08-05 00:00:00.000,253.15566612330053,615120367.3016751
2017-08-06 00:00:00.000,263.2220861638244,640103600.4602818
2017-08-07 00:00:00.000,268.49662903477497,435385633.8349678
2017-08-08 00:00:00.000,295.14709831672786,678573131.3986272
2017-08-09 00:00:00.000,297.0696048197405,1197172634.0328116
2017-08-10 00:00:00.000,296.7767240757822,448574816.64381045
2017-08-11 00:00:00.000,306.826433219032,411643039.51414186
2017-08-12 00:00:00.000,308.625531335255,485474525.24875605
2017-08-13 00:00:00.000,297.15980274719976,689079789.7596157
2017-08-14 00:00:00.000,296.3972895244633,384478726.7916482
2017-08-15 00:00:00.000,288.4507671723357,526951176.2194243
2017-08-16 00:00:00.000,300.0393294082391,640592816.9629201
2017-08-17 00:00:00.000,300.5703437604035,641280744.7518665
2017-08-18 00:00:00.000,296.114635373622,590470398.7743214
2017-08-19 00:00:00.000,296.6220895183796,553702157.2699106
2017-08-20 00:00:00.000,295.17157732771335,342822961.8711704
2017-08-21 00:00:00.000,322.2012201364436,1743909692.665895
2017-08-22 00:00:00.000,312.1744705574116,898344262.6106703
2017-08-23 00:00:00.000,316.7889202107443,466474643.49241275
2017-08-24 00:00:00.000,321.7852984049241,397752658.9354108
2017-08-25 00:00:00.000,329.0252809929819,451950699.05019414
2017-08-26 00:00:00.000,329.86578262442157,333839327.838868
2017-08-27 00:00:00.000,343.34133712814116,370052131.98739076
2017-08-28 00:00:00.000,344.2011314209417,519874393.4238931
2017-08-29 00:00:00.000,366.809589912788,767166476.1357825
2017-08-30 00:00:00.000,378.90633073469184,852991842.1703743
2017-08-31 00:00:00.000,382.9344507545728,414360266.00919527
2017-09-01 00:00:00.000,386.3430570009356,505643412.793286
2017-09-02 00:00:00.000,346.3987754868897,958653961.776176
2017-09-03 00:00:00.000,349.92924044114534,671189521.5578377
2017-09-04 00:00:00.000,299.7173318855491,1278523027.0732577
2017-09-05 00:00:00.000,318.9728041158723,1099567125.3565156
2017-09-06 00:00:00.000,333.20632999273016,672471698.8217244
2017-09-07 00:00:00.000,329.4156625176296,431394249.7466129
2017-09-08 00:00:00.000,304.47510826802426,660392679.7301207
2017-09-09 00:00:00.000,299.6944444705654,315515992.3564483
2017-09-10 00:00:00.000,292.7796567856866,456818455.0948669
2017-09-11 00:00:00.000,296.4753988432914,363007787.84414524
2017-09-12 00:00:00.000,290.58653195906925,583871859.8283461
2017-09-13 00:00:00.000,277.33365793127047,721738885.8360373
2017-09-14 00:00:00.000,214.3117136334975,929861557.1062983
2017-09-15 00:00:00.000,246.9218572871298,1617179859.467345
2017-09-16 00:00:00.000,244.80561175288247,586258300.894896
2017-09-17 00:00:00.000,249.66654597502836,336444511.1569665
2017-09-18 00:00:00.000,287.96109568877347,935880977.9429078
2017-09-19 00:00:00.000,280.4456323420793,518505103.8522604
2017-09-20 00:00:00.000,279.4176492108516,322301352.00916153
2017-09-21 00:00:00.000,257.465074465559,470196974.05520844
2017-09-22 00:00:00.000,263.46977368373445,343728639.336796
2017-09-23 00:00:00.000,283.22215899335055,365565238.54476005
2017-09-24 00:00:00.000,280.68104473460187,473679365.7914858
2017-09-25 00:00:00.000,288.0857009417575,367147869.49683565
2017-09-26 00:00:00.000,283.9294530726591,240690671.2951268
2017-09-27 00:00:00.000,302.1518453516756,394839374.31574607
2017-09-28 00:00:00.000,294.3138380117381,344032408.65444744
2017-09-29 00:00:00.000,288.11459689868053,401420308.2527799
2017-09-30 00:00:00.000,297.2689355700251,234494285.9120729
2017-10-01 00:00:00.000,299.6748890236153,208656622.10220405
2017-10-02 00:00:00.000,295.8400297394862,228753338.77109602
2017-10-03 00:00:00.000,292.2107206992577,213674545.194013
2017-10-04 00:00:00.000,293.0357027858311,167895948.31847614
2017-10-05 00:00:00.000,293.71934612048636,166289551.89366713
2017-10-06 00:00:00.000,307.7089805559562,223872523.77550793
2017-10-07 00:00:00.000,309.5982491240284,259031771.53758535
2017-10-08 00:00:00.000,307.05813687389934,195574551.40328008
2017-10-09 00:00:00.000,295.901045084102,422803467.0821769
